critic,audience,criticNum,audienceNum,date,film
85%,Coming,40,Ratings: Not yet available,2019-09-03,Joker
83%,Coming,42,Ratings: Not yet available,2019-09-04,Joker
85%,Coming,46,Ratings: Not yet available,2019-09-05,Joker
85%,Coming,46,Ratings: Not yet available,2019-09-06,Joker
85%,Coming,46,Ratings: Not yet available,2019-09-07,Joker
86%,Coming,49,Ratings: Not yet available,2019-09-08,Joker
86%,Coming,49,Ratings: Not yet available,2019-09-09,Joker
86%,Coming,50,Ratings: Not yet available,2019-09-10,Joker
77%,Coming,75,Ratings: Not yet available,2019-09-11,Joker
78%,Coming,81,Ratings: Not yet available,2019-09-12,Joker
76%,Coming,91,Ratings: Not yet available,2019-09-13,Joker
75%,Coming,93,Ratings: Not yet available,2019-09-14,Joker
76%,Coming,94,Ratings: Not yet available,2019-09-15,Joker
76%,Coming,99,Ratings: Not yet available,2019-09-16,Joker
76%,Coming,102,Ratings: Not yet available,2019-09-17,Joker
76%,Coming,104,Ratings: Not yet available,2019-09-18,Joker
75%,Coming,104,Ratings: Not yet available,2019-09-19,Joker
76%,Coming,107,Ratings: Not yet available,2019-09-20,Joker
75%,Coming,109,Ratings: Not yet available,2019-09-21,Joker
75%,Coming,109,Ratings: Not yet available,2019-09-22,Joker
76%,Coming,111,Ratings: Not yet available,2019-09-23,Joker
76%,Coming,112,Ratings: Not yet available,2019-09-24,Joker
76%,Coming,112,Ratings: Not yet available,2019-09-25,Joker
76%,Coming,118,Ratings: Not yet available,2019-09-26,Joker
76%,Coming,123,Ratings: Not yet available,2019-09-27,Joker
77%,Coming,127,Ratings: Not yet available,2019-09-28,Joker
77%,Coming,127,Ratings: Not yet available,2019-09-29,Joker
77%,Coming,129,Ratings: Not yet available,2019-09-30,Joker
78%,Coming,146,Ratings: Not yet available,2019-10-01,Joker
74%,Coming,193,Ratings: Not yet available,2019-10-02,Joker
70%,Coming,283,Ratings: Not yet available,2019-10-03,Joker
69%,93%,350,"3,248",2019-10-04,Joker
70%,92%,387,"8,418",2019-10-05,Joker
69%,91%,399,"14,779",2019-10-06,Joker
68%,90%,422,"20,844",2019-10-07,Joker
69%,90%,436,"24,415",2019-10-08,Joker
69%,90%,440,"27,573",2019-10-09,Joker
68%,90%,453,"29,881",2019-10-10,Joker
68%,90%,462,"31,671",2019-10-11,Joker
68%,90%,468,"34,135",2019-10-12,Joker
68%,90%,471,"36,996",2019-10-13,Joker
68%,90%,472,"38,730",2019-10-14,Joker
68%,89%,476,"41,161",2019-10-15,Joker
68%,89%,479,"43,127",2019-10-16,Joker
68%,89%,480,"44,345",2019-10-17,Joker
68%,89%,486,"45,332",2019-10-18,Joker
68%,89%,489,"48,102",2019-10-19,Joker
68%,89%,489,"48,102",2019-10-20,Joker
68%,89%,490,"49,895",2019-10-21,Joker
68%,89%,491,"50,604",2019-10-22,Joker
68%,89%,491,"50,604",2019-10-23,Joker
69%,89%,500,"53,408",2019-10-24,Joker
69%,89%,500,"53,408",2019-10-25,Joker
69%,89%,500,"53,408",2019-10-26,Joker
69%,89%,500,"54,263",2019-10-27,Joker
69%,89%,500,"55,444",2019-10-28,Joker
69%,89%,502,"56,032",2019-10-29,Joker
69%,89%,502,"56,507",2019-10-30,Joker
69%,89%,503,"56,902",2019-10-31,Joker
69%,89%,503,"57,298",2019-11-01,Joker
69%,89%,503,"57,933",2019-11-02,Joker
69%,89%,503,"58,754",2019-11-03,Joker
69%,89%,504,"59,629",2019-11-04,Joker
69%,89%,504,"60,074",2019-11-05,Joker
69%,89%,504,"60,405",2019-11-06,Joker
69%,89%,504,"60,572",2019-11-07,Joker
69%,89%,506,"60,881",2019-11-08,Joker
69%,89%,507,"61,287",2019-11-09,Joker
69%,89%,509,"61,781",2019-11-10,Joker
69%,89%,509,"62,265",2019-11-11,Joker
69%,89%,509,"62,265",2019-11-12,Joker
69%,89%,509,"62,558",2019-11-13,Joker
69%,89%,509,"62,715",2019-11-14,Joker
69%,89%,509,"62,841",2019-11-15,Joker
69%,89%,512,"63,213",2019-11-16,Joker
69%,89%,512,"63,213",2019-11-17,Joker
69%,89%,512,"63,551",2019-11-18,Joker
69%,89%,512,"63,735",2019-11-19,Joker
69%,89%,513,"63,880",2019-11-20,Joker
69%,88%,515,"63,970",2019-11-21,Joker
69%,88%,515,"64,010",2019-11-22,Joker
69%,88%,515,"64,010",2019-11-23,Joker
69%,88%,516,"64,336",2019-11-24,Joker
69%,88%,516,"64,359",2019-11-25,Joker
69%,88%,516,"64,359",2019-11-26,Joker
68%,88%,517,"64,590",2019-11-27,Joker
69%,88%,518,"64,717",2019-11-30,Joker
69%,88%,518,"64,837",2019-12-01,Joker
69%,88%,519,"64,967",2019-12-02,Joker
69%,88%,519,"64,967",2019-12-03,Joker
69%,88%,519,"64,997",2019-12-04,Joker
69%,88%,521,"65,075",2019-12-06,Joker
69%,88%,522,"65,101",2019-12-07,Joker
69%,88%,522,"65,140",2019-12-08,Joker
69%,88%,522,"65,186",2019-12-09,Joker
69%,88%,522,"65,208",2019-12-10,Joker
69%,88%,524,"65,235",2019-12-11,Joker
69%,88%,523,"65,256",2019-12-12,Joker
69%,88%,523,"65,272",2019-12-13,Joker
69%,88%,523,"65,300",2019-12-14,Joker
69%,88%,523,"65,324",2019-12-16,Joker
69%,88%,524,"65,339",2019-12-17,Joker
69%,88%,524,"65,358",2019-12-18,Joker
69%,88%,524,"65,375",2019-12-19,Joker
69%,88%,526,"65,390",2019-12-20,Joker
69%,88%,526,"65,416",2019-12-22,Joker
69%,88%,526,"65,425",2019-12-23,Joker
69%,88%,526,"65,430",2019-12-24,Joker
69%,88%,526,"65,444",2019-12-25,Joker
69%,88%,526,"65,457",2019-12-26,Joker
69%,88%,527,"65,476",2019-12-27,Joker
69%,88%,527,"65,483",2019-12-28,Joker
69%,88%,527,"65,491",2019-12-29,Joker
69%,88%,527,"65,491",2019-12-30,Joker
69%,88%,527,"65,495",2019-12-31,Joker
69%,88%,527,"65,498",2020-01-01,Joker
69%,88%,527,"65,501",2020-01-02,Joker
69%,88%,527,"65,507",2020-01-03,Joker
69%,88%,527,"65,511",2020-01-04,Joker
69%,88%,527,"65,515",2020-01-05,Joker
69%,88%,527,"65,517",2020-01-06,Joker
69%,88%,529,"65,522",2020-01-07,Joker
69%,88%,529,"65,524",2020-01-08,Joker
69%,88%,529,"65,526",2020-01-09,Joker
69%,88%,531,"66,102",2020-01-10,Joker
69%,88%,533,"66,113",2020-01-12,Joker
69%,88%,533,"66,113",2020-01-13,Joker
69%,88%,533,"66,114",2020-01-14,Joker
69%,88%,534,"66,117",2020-01-15,Joker
69%,88%,534,"66,117",2020-01-16,Joker
69%,88%,535,"66,118",2020-01-17,Joker
69%,88%,537,"66,120",2020-01-18,Joker
69%,88%,537,"66,131",2020-01-19,Joker
69%,88%,537,"66,148",2020-01-20,Joker
69%,88%,539,"66,165",2020-01-21,Joker
69%,88%,539,"66,178",2020-01-22,Joker
69%,88%,539,"66,178",2020-01-23,Joker
69%,88%,539,"66,178",2020-01-24,Joker
69%,88%,539,"66,178",2020-01-25,Joker
68%,88%,542,"66,224",2020-01-26,Joker
68%,88%,542,"66,224",2020-01-27,Joker
68%,88%,542,"66,224",2020-01-28,Joker
68%,88%,542,"66,224",2020-01-29,Joker
68%,88%,542,"66,224",2020-01-30,Joker
68%,88%,542,"66,224",2020-01-31,Joker
68%,88%,542,"66,224",2020-02-01,Joker
68%,88%,543,"66,236",2020-02-02,Joker
68%,88%,543,"66,236",2020-02-03,Joker
68%,88%,543,"66,236",2020-02-05,Joker
68%,88%,543,"66,237",2020-02-06,Joker
68%,88%,544,"66,238",2020-02-07,Joker
68%,88%,544,"66,238",2020-02-08,Joker
68%,88%,544,"66,238",2020-02-09,Joker
68%,88%,544,"66,238",2020-02-10,Joker
68%,88%,547,"66,253",2020-02-11,Joker
68%,88%,547,"66,253",2020-02-14,Joker
68%,88%,547,"66,253",2020-02-15,Joker
68%,88%,547,"66,253",2020-02-16,Joker
68%,88%,547,"66,253",2020-02-17,Joker
68%,88%,547,"66,253",2020-02-18,Joker
68%,88%,548,"66,269",2020-02-22,Joker
68%,88%,548,"66,269",2020-02-23,Joker
68%,88%,548,"66,269",2020-02-24,Joker
68%,88%,548,"66,269",2020-02-25,Joker
68%,88%,548,"66,269",2020-02-26,Joker
68%,88%,548,"66,274",2020-02-27,Joker
68%,88%,548,"66,274",2020-02-28,Joker
68%,88%,548,"66,274",2020-02-29,Joker
68%,88%,549,"66,280",2020-03-01,Joker
68%,88%,549,"66,280",2020-03-02,Joker
68%,88%,549,"66,280",2020-03-03,Joker
68%,88%,549,"66,280",2020-03-05,Joker
68%,88%,549,"66,280",2020-03-06,Joker
68%,88%,549,"66,280",2020-03-07,Joker
68%,88%,550,"66,285",2020-03-08,Joker
68%,88%,550,"66,285",2020-03-09,Joker
68%,88%,550,"66,285",2020-03-10,Joker
68%,88%,550,"66,286",2020-03-13,Joker
68%,88%,550,"66,286",2020-03-14,Joker
68%,88%,550,"66,286",2020-03-15,Joker
68%,88%,550,"66,286",2020-03-16,Joker
68%,88%,550,"66,286",2020-03-17,Joker
68%,88%,550,"66,286",2020-03-18,Joker
68%,88%,550,"66,286",2020-03-20,Joker
68%,88%,550,"66,286",2020-03-21,Joker
68%,88%,550,"66,286",2020-03-24,Joker
68%,88%,550,"66,286",2020-03-25,Joker
68%,88%,550,"66,286",2020-03-26,Joker
68%,88%,550,"66,286",2020-03-28,Joker
68%,88%,550,"66,286",2020-03-30,Joker
68%,88%,550,"66,286",2020-03-31,Joker
68%,88%,550,"66,286",2020-04-01,Joker
68%,88%,550,"66,286",2020-04-02,Joker
68%,88%,550,"66,286",2020-04-03,Joker
68%,88%,550,"66,286",2020-04-04,Joker
68%,88%,551,"66,286",2020-04-05,Joker
68%,88%,551,"66,286",2020-04-06,Joker
68%,88%,551,"66,286",2020-04-07,Joker
68%,88%,551,"66,286",2020-04-08,Joker
68%,88%,551,"66,286",2020-04-09,Joker
68%,88%,551,"66,286",2020-04-10,Joker
68%,88%,551,"66,287",2020-04-11,Joker
68%,88%,551,"66,287",2020-04-12,Joker
68%,88%,551,"66,287",2020-04-13,Joker
68%,88%,551,"66,287",2020-04-15,Joker
68%,88%,551,"66,287",2020-04-16,Joker
68%,88%,551,"66,287",2020-04-17,Joker
68%,88%,551,"66,287",2020-04-18,Joker
68%,88%,551,"66,287",2020-04-19,Joker
68%,88%,551,"66,287",2020-04-20,Joker
68%,88%,551,"66,287",2020-04-21,Joker
68%,88%,551,"66,287",2020-04-22,Joker
68%,88%,551,"66,287",2020-04-23,Joker
68%,88%,551,"66,287",2020-04-24,Joker
68%,88%,551,"66,287",2020-04-25,Joker
68%,88%,551,"66,287",2020-04-26,Joker
68%,88%,551,"66,287",2020-04-27,Joker
68%,88%,551,"66,287",2020-04-28,Joker
68%,88%,551,"66,287",2020-04-29,Joker
68%,88%,552,"66,291",2020-04-30,Joker
68%,88%,552,"66,291",2020-05-01,Joker
68%,88%,552,"66,291",2020-05-02,Joker
68%,88%,552,"66,291",2020-05-03,Joker
68%,88%,552,"66,291",2020-05-04,Joker
68%,88%,552,"66,291",2020-05-05,Joker
68%,88%,552,"66,291",2020-05-06,Joker
68%,88%,552,"66,291",2020-05-07,Joker
68%,88%,552,"66,291",2020-05-08,Joker
68%,88%,552,"66,291",2020-05-09,Joker
68%,88%,552,"66,291",2020-05-10,Joker
68%,88%,552,"66,291",2020-05-11,Joker
68%,88%,552,"66,291",2020-05-12,Joker
68%,88%,552,"66,291",2020-05-13,Joker
68%,88%,552,"66,291",2020-05-14,Joker
68%,88%,552,"66,291",2020-05-15,Joker
68%,88%,552,"66,291",2020-05-16,Joker
68%,88%,552,"66,291",2020-05-17,Joker
68%,88%,552,"66,291",2020-05-18,Joker
68%,88%,552,"66,291",2020-05-19,Joker
68%,88%,552,"66,291",2020-05-20,Joker
68%,88%,552,"66,291",2020-05-21,Joker
68%,88%,552,"66,291",2020-05-22,Joker
68%,88%,552,"66,291",2020-05-23,Joker
68%,88%,552,"66,291",2020-05-24,Joker
68%,88%,554,"66,291",2020-05-25,Joker
68%,88%,554,"66,291",2020-05-26,Joker
68%,88%,554,"66,291",2020-05-27,Joker
68%,88%,554,"66,291",2020-05-28,Joker
68%,88%,554,"66,291",2020-05-29,Joker
68%,88%,554,"66,291",2020-05-30,Joker
68%,88%,554,"66,291",2020-05-31,Joker
68%,88%,554,"66,291",2020-06-01,Joker
68%,88%,554,"66,291",2020-06-02,Joker
68%,88%,554,"66,291",2020-06-03,Joker
68%,88%,554,"66,291",2020-06-04,Joker
68%,88%,554,"66,291",2020-06-05,Joker
68%,88%,554,"66,291",2020-06-06,Joker
68%,88%,554,"66,291",2020-06-07,Joker
68%,88%,554,"66,291",2020-06-08,Joker
68%,88%,554,"66,291",2020-06-09,Joker
68%,88%,554,"66,291",2020-06-10,Joker
68%,88%,554,"66,291",2020-06-11,Joker
68%,88%,554,"66,291",2020-06-12,Joker
68%,88%,554,"66,291",2020-06-13,Joker
68%,88%,554,"66,291",2020-06-14,Joker
68%,88%,554,"66,291",2020-06-15,Joker
68%,88%,554,"66,291",2020-06-16,Joker
68%,88%,554,"66,291",2020-06-17,Joker
68%,88%,554,"66,291",2020-06-18,Joker
68%,88%,554,"66,291",2020-06-19,Joker
68%,88%,554,"66,291",2020-06-20,Joker
68%,88%,554,"66,291",2020-06-21,Joker
68%,88%,554,"66,291",2020-06-22,Joker
68%,88%,554,"66,291",2020-06-23,Joker
68%,88%,554,"66,291",2020-06-24,Joker
68%,88%,554,"66,291",2020-06-25,Joker
68%,88%,554,"66,291",2020-06-26,Joker
68%,88%,554,"66,291",2020-06-27,Joker
68%,88%,554,"66,291",2020-06-28,Joker
68%,88%,554,"66,291",2020-06-29,Joker
68%,88%,554,"66,291",2020-06-30,Joker
68%,88%,563,"66,292",2020-07-01,Joker
68%,88%,563,"66,292",2020-07-02,Joker
68%,88%,563,"66,292",2020-07-03,Joker
68%,88%,563,"66,292",2020-07-04,Joker
68%,88%,563,"66,292",2020-07-05,Joker
68%,88%,563,"66,292",2020-07-06,Joker
68%,88%,563,"66,292",2020-07-07,Joker
68%,88%,563,"66,292",2020-07-08,Joker
68%,88%,563,"66,292",2020-07-09,Joker
68%,88%,563,"66,292",2020-07-10,Joker
68%,88%,563,"66,292",2020-07-11,Joker
68%,88%,563,"66,292",2020-07-13,Joker
68%,88%,563,"66,292",2020-07-14,Joker
68%,88%,563,"66,292",2020-07-15,Joker
68%,88%,563,"66,292",2020-07-16,Joker
68%,88%,563,"66,292",2020-07-17,Joker
68%,88%,563,"66,292",2020-07-18,Joker
68%,88%,563,"66,292",2020-07-19,Joker
68%,88%,563,"66,292",2020-07-20,Joker
68%,88%,563,"66,292",2020-07-21,Joker
68%,88%,563,"66,292",2020-07-22,Joker
68%,88%,563,"66,292",2020-07-23,Joker
68%,88%,563,"66,292",2020-07-24,Joker
68%,88%,563,"66,292",2020-07-25,Joker
68%,88%,563,"66,292",2020-07-26,Joker
68%,88%,563,"66,292",2020-07-27,Joker
68%,88%,563,"66,292",2020-07-28,Joker
68%,88%,563,"66,292",2020-07-29,Joker
68%,88%,563,"66,292",2020-07-30,Joker
68%,88%,563,"66,292",2020-07-31,Joker
68%,88%,568,"66,293",2020-08-01,Joker
68%,88%,568,"66,293",2020-08-02,Joker
68%,88%,568,"66,293",2020-08-03,Joker
68%,88%,568,"66,293",2020-08-04,Joker
68%,88%,568,"66,293",2020-08-05,Joker
68%,88%,568,"66,293",2020-08-06,Joker
68%,88%,568,"66,293",2020-08-07,Joker
68%,88%,568,"66,293",2020-08-08,Joker
68%,88%,568,"66,293",2020-08-09,Joker
68%,88%,568,"66,293",2020-08-10,Joker
68%,88%,568,"66,293",2020-08-11,Joker
68%,88%,568,"66,293",2020-08-12,Joker
68%,88%,568,"66,293",2020-08-13,Joker
68%,88%,568,"66,293",2020-08-14,Joker
68%,88%,568,"66,293",2020-08-15,Joker
68%,88%,568,"66,293",2020-08-16,Joker
68%,88%,568,"66,293",2020-08-17,Joker
68%,88%,568,"66,293",2020-08-18,Joker
68%,88%,568,"66,293",2020-08-19,Joker
68%,88%,568,"66,293",2020-08-20,Joker
68%,88%,568,"66,293",2020-08-21,Joker
68%,88%,568,"66,293",2020-08-22,Joker
68%,88%,568,"66,293",2020-08-23,Joker
68%,88%,568,"66,293",2020-08-24,Joker
68%,88%,568,"66,293",2020-08-25,Joker
68%,88%,568,"66,293",2020-08-26,Joker
68%,88%,568,"66,293",2020-08-27,Joker
68%,88%,568,"66,293",2020-08-28,Joker
68%,88%,568,"66,293",2020-08-29,Joker
68%,88%,568,"66,293",2020-08-30,Joker
68%,88%,568,"66,293",2020-08-31,Joker
68%,88%,568,"66,293",2020-09-01,Joker
69%,88%,572,"66,299",2020-09-02,Joker
69%,88%,572,"66,299",2020-09-03,Joker
84%,Audience,170,User Ratings: ,2019-03-06,Captain Marvel
82%,Audience,229,User Ratings: ,2019-03-07,Captain Marvel
81%,35%,289,liked it,2019-03-08,Captain Marvel
79%,53%,333,liked it,2019-03-09,Captain Marvel
80%,57%,350,liked it,2019-03-10,Captain Marvel
80%,59%,378,liked it,2019-03-11,Captain Marvel
80%,61%,395,liked it,2019-03-12,Captain Marvel
79%,63%,406,liked it,2019-03-13,Captain Marvel
79%,62%,406,liked it,2019-03-14,Captain Marvel
79%,62%,418,liked it,2019-03-15,Captain Marvel
79%,62%,420,liked it,2019-03-16,Captain Marvel
79%,62%,422,liked it,2019-03-17,Captain Marvel
79%,62%,423,liked it,2019-03-18,Captain Marvel
79%,62%,424,liked it,2019-03-19,Captain Marvel
79%,62%,426,liked it,2019-03-20,Captain Marvel
79%,62%,427,liked it,2019-03-21,Captain Marvel
79%,62%,429,liked it,2019-03-22,Captain Marvel
78%,62%,432,liked it,2019-03-23,Captain Marvel
78%,62%,432,liked it,2019-03-24,Captain Marvel
78%,62%,433,liked it,2019-03-25,Captain Marvel
78%,61%,433,liked it,2019-03-26,Captain Marvel
78%,61%,434,liked it,2019-03-27,Captain Marvel
78%,60%,434,liked it,2019-03-28,Captain Marvel
78%,60%,434,liked it,2019-03-29,Captain Marvel
78%,60%,436,liked it,2019-03-30,Captain Marvel
78%,60%,438,liked it,2019-03-31,Captain Marvel
78%,60%,440,liked it,2019-04-01,Captain Marvel
78%,60%,441,liked it,2019-04-02,Captain Marvel
78%,59%,442,liked it,2019-04-03,Captain Marvel
78%,59%,445,liked it,2019-04-04,Captain Marvel
78%,59%,445,liked it,2019-04-05,Captain Marvel
78%,58%,445,liked it,2019-04-06,Captain Marvel
78%,58%,445,liked it,2019-04-07,Captain Marvel
78%,58%,445,liked it,2019-04-08,Captain Marvel
78%,58%,448,liked it,2019-04-09,Captain Marvel
78%,58%,448,liked it,2019-04-10,Captain Marvel
78%,58%,448,liked it,2019-04-11,Captain Marvel
78%,58%,448,liked it,2019-04-12,Captain Marvel
78%,58%,448,liked it,2019-04-13,Captain Marvel
78%,58%,450,liked it,2019-04-14,Captain Marvel
78%,58%,450,liked it,2019-04-15,Captain Marvel
78%,58%,452,liked it,2019-04-16,Captain Marvel
78%,58%,452,liked it,2019-04-17,Captain Marvel
78%,57%,453,liked it,2019-04-18,Captain Marvel
78%,57%,453,liked it,2019-04-19,Captain Marvel
